iter	Logloss
0	0.6484742548
1	0.6095213611
2	0.5758954945
3	0.5451458305
4	0.5185637359
5	0.4955413869
6	0.4750665407
7	0.4570540804
8	0.4412464039
9	0.4271658975
10	0.4143140999
11	0.4034927025
12	0.3937193919
13	0.3848570412
14	0.3769882174
15	0.3703429705
16	0.3643663788
17	0.3590248224
18	0.3539027983
19	0.3497500161
20	0.346065029
21	0.3427685953
22	0.3397446883
23	0.33693937
24	0.3346002166
25	0.3322307733
26	0.330291822
27	0.3284089499
28	0.3268032223
29	0.3253185135
30	0.3239961254
31	0.3228173858
32	0.3218178248
33	0.3208086676
34	0.3198802387
35	0.3190215057
36	0.3183142722
37	0.3175805926
38	0.3169769352
39	0.3164386272
40	0.3158781274
41	0.3153371988
42	0.3147921642
43	0.3144225855
44	0.3139386217
45	0.3135324737
46	0.3132081775
47	0.312867497
48	0.3126226333
49	0.3123391124
50	0.3119944122
51	0.3117228387
52	0.311454783
53	0.3112373137
54	0.3110087641
55	0.3107806078
56	0.3105508306
57	0.3103234793
58	0.3101622384
59	0.3099593225
60	0.3097394291
61	0.309600881
62	0.309465231
63	0.3093364463
64	0.309164151
65	0.3090278156
66	0.3088944937
67	0.3087530491
68	0.3086223466
69	0.3084541307
70	0.3083538504
71	0.3082704014
72	0.3081329699
73	0.3080086635
74	0.3079040187
75	0.3077732854
76	0.307673327
77	0.3075419333
78	0.3074428627
79	0.3073344836
80	0.3072437328
81	0.307141856
82	0.3070285797
83	0.3069399351
84	0.3068728454
85	0.3067974101
86	0.3066909959
87	0.3065875964
88	0.3065156963
89	0.3064369432
90	0.3063261338
91	0.3062287694
92	0.3061265323
93	0.3060428793
94	0.3059562451
95	0.3058585943
96	0.3057896096
97	0.3057125273
98	0.3056069608
99	0.3054849483
100	0.3054248492
101	0.305342561
102	0.305282328
103	0.3051986419
104	0.3051313067
105	0.3050864387
106	0.3050280157
107	0.3049665563
108	0.3048641798
109	0.3048063856
110	0.3047278559
111	0.3046728785
112	0.304618112
113	0.3045616842
114	0.3045080142
115	0.3044460664
116	0.3043496242
117	0.3042756757
118	0.3041642557
119	0.3040387965
120	0.303975466
121	0.3039191204
122	0.3038290551
123	0.3037915647
124	0.3037163352
125	0.3036427456
126	0.3035510684
127	0.3034810602
128	0.3034173997
129	0.3033471658
130	0.3032891697
131	0.3032212407
132	0.3031435257
133	0.3030609589
134	0.3029991754
135	0.3029408722
136	0.3028656776
137	0.3027774134
138	0.3026751423
139	0.3025937826
140	0.302487367
141	0.302401266
142	0.302321801
143	0.3022448334
144	0.3022115637
145	0.3021562453
146	0.3021177884
147	0.3020847387
148	0.3020230124
149	0.3019665692
150	0.3018948192
151	0.3018464472
152	0.3017361694
153	0.3016879057
154	0.3016081431
155	0.3015469378
156	0.3014688706
157	0.3014077718
158	0.301359768
159	0.301274901
160	0.3012115846
161	0.301162582
162	0.3010961736
163	0.3010492604
164	0.300998627
165	0.3009404374
166	0.300874698
167	0.3008152369
168	0.3007551693
169	0.3007183895
170	0.3006648623
171	0.3006035019
172	0.3005624374
173	0.3004838083
174	0.3004239984
175	0.3003791617
176	0.300314503
177	0.3002553423
178	0.3001910365
179	0.3001406919
180	0.300111482
181	0.300066125
182	0.3000206071
183	0.299943698
184	0.299899683
185	0.2998606335
186	0.2997958094
187	0.2997061426
188	0.2996563447
189	0.2995901662
190	0.2995118915
191	0.2994654158
192	0.2994395406
193	0.2993753995
194	0.299292787
195	0.2992063264
196	0.2991528473
197	0.2991130594
198	0.2990658326
199	0.299002984
200	0.2989458926
201	0.2988772024
202	0.2988346747
203	0.2987812347
204	0.2987343237
205	0.2986867844
206	0.2985930555
207	0.2985025382
208	0.2984288906
209	0.2983616296
210	0.2982960356
211	0.2982453533
212	0.298188415
213	0.2981410884
214	0.2980679122
215	0.2980247244
216	0.2979624342
217	0.2979076703
218	0.2978454273
219	0.2977963263
220	0.2977398747
221	0.2976863526
222	0.2976180905
223	0.2975730662
224	0.2975339156
225	0.2974932436
226	0.2974360657
227	0.2974008329
228	0.2973393974
229	0.2972862817
230	0.2971978603
231	0.2971430426
232	0.2970733089
233	0.2969960733
234	0.2969564156
235	0.2968901392
236	0.2968233551
237	0.2967489209
238	0.2967016486
239	0.2966393246
240	0.2965971747
241	0.2965515911
242	0.2964833092
243	0.296446887
244	0.2963782667
245	0.2962981406
246	0.2962261899
247	0.2961867395
248	0.2961329397
249	0.2960689635
250	0.2959891197
251	0.2959392225
252	0.2958668818
253	0.2958041899
254	0.2957442514
255	0.2956849117
256	0.2956022648
257	0.2955346512
258	0.2954867647
259	0.2954284143
260	0.2953512111
261	0.2952945164
262	0.2952447267
263	0.2951833678
264	0.2951292204
265	0.2950781646
266	0.2950232925
267	0.2949633618
268	0.2949177687
269	0.2948619634
270	0.2947699544
271	0.2947136057
272	0.2946305267
273	0.2945756702
274	0.2945026135
275	0.294422487
276	0.2943640212
277	0.2942989634
278	0.2942600139
279	0.2941697489
280	0.2940763659
281	0.2940344489
282	0.2939836441
283	0.2939325203
284	0.2938962265
285	0.2938254712
286	0.2937649478
287	0.293664947
288	0.2936092456
289	0.2935553641
290	0.2934922554
291	0.2934318451
292	0.2933584602
293	0.293283507
294	0.2931920739
295	0.2931360797
296	0.2931069513
297	0.2930097506
298	0.2929624908
299	0.2929047492
